City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
pandan,14.0453,124.1694,299.73,84,51,3.65,Pandan,1683829148
nova sintra,14.8667,-24.7167,293.21,82,5,7.42,Nova Sintra,1683828952
ust-nera,64.5667,143.2,272.63,89,98,2.04,Ust-Nera,1683828952
waitangi,-43.9535,-176.5597,284.39,54,72,9.75,Waitangi,1683828952
puerto ayora,-0.7393,-90.3518,300.68,93,64,2.68,Puerto Ayora,1683828952
port-aux-francais,-49.35,70.2167,280.66,92,100,18.57,Port-aux-Français,1683828633
bethel,41.3712,-73.414,298.27,32,0,5.14,Bethel,1683828782
newman,37.3138,-121.0208,292.13,57,7,3.13,Newman,1683829120
beau vallon,-20.4189,57.6953,298.28,73,40,3.6,Beau Vallon,1683828953
sogndal,61.2283,7.1003,287.36,62,75,0,Sogndal,1683828954
edinburgh of the seven seas,-37.0676,-12.3116,289.9,77,88,10.18,Edinburgh of the Seven Seas,1683828954
grytviken,-54.2811,-36.5092,270.11,79,27,4.95,Grytviken,1683828954
kapuskasing,49.4169,-82.4331,294.15,46,95,4.63,Kapuskasing,1683828853
coxen hole,16.3244,-86.5366,303.75,70,20,6.17,Coxen Hole,1683828955
iqaluit,63.7506,-68.5145,269.65,73,20,4.63,Iqaluit,1683828955
kati,12.7441,-8.0726,312.82,9,96,3.28,Kati,1683828955
punta arenas,-53.15,-70.9167,281.11,76,0,6.69,Punta Arenas,1683828955
ribeira grande,38.5167,-28.7,293.37,64,20,5.36,Ribeira Grande,1683828956
west island,-12.1568,96.8225,302.14,84,75,6.17,West Island,1683828899
seosan,36.7817,126.4522,285.43,63,99,1.74,Seosan City,1683828956
blackmans bay,-43.0167,147.3167,278.4,89,100,2.92,Blackmans Bay,1683828956
suva,-18.1416,178.4415,295.86,94,75,2.06,Suva,1683828957
badger,64.8,-147.5333,285.28,50,75,2.57,Badger,1683828957
marrakesh,31.6315,-8.0083,305.19,25,20,4.63,Marrakesh,1683828957
bykovo,55.6361,38.0803,282.03,100,40,2,Bykovo,1683828958
novodvinsk,64.4165,40.8122,281.85,74,97,2.3,Novodvinsk,1683828958
vila nova da barquinha,39.4756,-8.4095,295.32,34,0,7.52,Vila Nova da Barquinha Municipality,1683828958
atafu village,-8.5421,-172.5159,302.09,76,73,6.45,Atafu Village,1683828958
ushuaia,-54.8,-68.3,280.96,71,75,2.57,Ushuaia,1683828918
port-gentil,-0.7193,8.7815,301.13,83,20,2.57,Port-Gentil,1683828959
